'sheng'li'de'rong'guang 胜利的荣光
'xue'yu'han'de'jia'zhi 血与汗的价值
'shang'mao'zhi'shen'de'chui'qing 商贸之神的垂青
'ji'tu'cheng'shan 积土成山
'yong'wu'zhi'ren'de'shang'jin 勇武之人的赏金
'gao'jie'de'sheng'tang'qi'shi 高洁的圣堂骑士
'yong'meng'de'hai'dao'zhan'shi 勇猛的海盗战士
'hui'xie'de'hua'ji'xiao'chou 诙谐的滑稽小丑
'wu'feng'zhi'qi'shi 无锋之骑士
'shi'fa'zhi'wu'seng 释法之武僧
'yong'han'zhi'zhan'shi 勇悍之战士
'chuan'xin'zhi'long'qi'shi 穿心之龙骑士
'yue'shen'zhi'yin'you'shi'ren 月神之吟游诗人
'jiu'shen'zhi'bai'mo'fa'shi 酒神之白魔法师
'xing'chen'zhi'hei'mo'fa'shi 星尘之黑魔法师
'fu'su'de'shang'gu'wu'qi 复苏的上古武器
'mu'gong'ai'hao'zhe 木工爱好者
'mu'gong'chu'xue'zhe 木工初学者
'mu'gong'shi'xi'sheng 木工实习生
'mu'gong'shu'lian'gong 木工熟练工
'mu'gong'shou'yi'ren 木工手艺人
'mu'gong'zhi'qiao'jiang 木工之巧匠
'duan'ye'ai'hao'zhe 锻冶爱好者
'duan'ye'chu'xue'zhe 锻冶初学者
'duan'ye'shi'xi'sheng 锻冶实习生
'duan'ye'shu'lian'gong 锻冶熟练工
'duan'ye'shou'yi'ren 锻冶手艺人
'duan'ye'zhi'qiao'jiang 锻冶之巧匠
'zhu'jia'ai'hao'zhe 铸甲爱好者
'zhu'jia'chu'xue'zhe 铸甲初学者
'zhu'jia'shi'xi'sheng 铸甲实习生
'zhu'jia'shu'lian'gong 铸甲熟练工
'zhu'jia'shou'yi'ren 铸甲手艺人
'zhu'jia'zhi'qiao'jiang 铸甲之巧匠
'diao'jin'ai'hao'zhe 雕金爱好者
'diao'jin'chu'xue'zhe 雕金初学者
'diao'jin'shi'xi'sheng 雕金实习生
'diao'jin'shu'lian'gong 雕金熟练工
'diao'jin'shou'yi'ren 雕金手艺人
'diao'jin'zhi'qiao'jiang 雕金之巧匠
'zhi'ge'ai'hao'zhe 制革爱好者
'zhi'ge'chu'xue'zhe 制革初学者
'zhi'ge'shi'xi'sheng 制革实习生
'zhi'ge'shu'lian'gong 制革熟练工
'zhi'ge'shou'yi'ren 制革手艺人
'zhi'ge'zhi'qiao'jiang 制革之巧匠
'cai'feng'ai'hao'zhe 裁缝爱好者
'cai'feng'chu'xue'zhe 裁缝初学者
'cai'feng'shi'xi'sheng 裁缝实习生
'cai'feng'shu'lian'gong 裁缝熟练工
'cai'feng'shou'yi'ren 裁缝手艺人
'cai'feng'zhi'qiao'jiang 裁缝之巧匠
'lian'cheng'ai'hao'zhe 炼成爱好者
'lian'cheng'chu'xue'zhe 炼成初学者
'lian'cheng'shi'xi'sheng 炼成实习生
'lian'cheng'shu'lian'gong 炼成熟练工
'lian'cheng'shou'yi'ren 炼成手艺人
'lian'cheng'zhi'qiao'jiang 炼成之巧匠
'peng'diao'ai'hao'zhe 烹调爱好者
'peng'diao'chu'xue'zhe 烹调初学者
'peng'diao'shi'xi'sheng 烹调实习生
'peng'diao'shu'lian'gong 烹调熟练工
'peng'diao'shou'yi'ren 烹调手艺人
'peng'diao'zhi'qiao'jiang 烹调之巧匠
'la'nuo'xi'ya'cai'jue'neng'shou 拉诺西亚采掘能手
'la'nuo'xi'ya'cai'jue'wang 拉诺西亚采掘王
'hei'yi'sen'lin'cai'jue'neng'shou 黑衣森林采掘能手
'hei'yi'sen'lin'cai'jue'wang 黑衣森林采掘王
'sa'na'lan'cai'jue'neng'shou 萨纳兰采掘能手
'sa'na'lan'cai'jue'wang 萨纳兰采掘王
'huang'jin'he'zui'chu 黄金鹤嘴锄
'la'nuo'xi'ya'sui'shi'neng'shou 拉诺西亚碎石能手
'la'nuo'xi'ya'sui'shi'wang 拉诺西亚碎石王
'hei'yi'sen'lin'sui'shi'neng'shou 黑衣森林碎石能手
'hei'yi'sen'lin'sui'shi'wang 黑衣森林碎石王
'sa'na'lan'sui'shi'neng'shou 萨纳兰碎石能手
'sa'na'lan'sui'shi'wang 萨纳兰碎石王
'la'nuo'xi'ya'cai'fa'neng'shou 拉诺西亚采伐能手
'la'nuo'xi'ya'cai'fa'wang 拉诺西亚采伐王
'hei'yi'sen'lin'cai'fa'neng'shou 黑衣森林采伐能手
'hei'yi'sen'lin'cai'fa'wang 黑衣森林采伐王
'sa'na'lan'cai'fa'neng'shou 萨纳兰采伐能手
'sa'na'lan'cai'fa'wang 萨纳兰采伐王
'huang'jin'shou'fu 黄金手斧
'la'nuo'xi'ya'ge'cao'neng'shou 拉诺西亚割草能手
'la'nuo'xi'ya'ge'cao'wang 拉诺西亚割草王
'hei'yi'sen'lin'ge'cao'neng'shou 黑衣森林割草能手
'hei'yi'sen'lin'ge'cao'wang 黑衣森林割草王
'sa'na'lan'ge'cao'neng'shou 萨纳兰割草能手
'sa'na'lan'ge'cao'wang 萨纳兰割草王
'la'nuo'xi'ya'diao'yu'neng'shou 拉诺西亚钓鱼能手
'la'nuo'xi'ya'diao'yu'wang 拉诺西亚钓鱼王
'hei'yi'sen'lin'diao'yu'neng'shou 黑衣森林钓鱼能手
'hei'yi'sen'lin'diao'yu'wang 黑衣森林钓鱼王
'sa'na'lan'diao'yu'neng'shou 萨纳兰钓鱼能手
'sa'na'lan'diao'yu'wang 萨纳兰钓鱼王
'huang'jin'diao'gan 黄金钓竿
'la'nuo'xi'ya'ci'yu'neng'shou 拉诺西亚刺鱼能手
'la'nuo'xi'ya'ci'yu'wang 拉诺西亚刺鱼王
'hei'yi'sen'lin'ci'yu'neng'shou 黑衣森林刺鱼能手
'hei'yi'sen'lin'ci'yu'wang 黑衣森林刺鱼王
'sa'na'lan'ci'yu'neng'shou 萨纳兰刺鱼能手
'sa'na'lan'ci'yu'wang 萨纳兰刺鱼王
'lao'ge'bu'lin'de'xue'tu 老哥布林的学徒
'lao'ge'bu'lin'de'gao'tu 老哥布林的高徒
'yong'qi'zhi'zhu 勇气之主
'xing'yun'zhi'zhu 幸运之主
'qiang'yun'zhi'zhu 强运之主
'ming'yun'nv'shen'de'chui'qing 命运女神的垂青
'si'nian'de'jie'jing 思念的结晶
'zhong'qing'zhong'yi'de'mo'jing'shi'shi'fu 重情重义的魔晶石师傅
'cong'li'mu'sa'luo'min'sa'qi'cheng 从利姆萨罗敏萨启程
'cong'ge'li'da'ni'ya'qi'cheng 从格里达尼亚启程
'cong'wu'er'da'ha'qi'cheng 从乌尔达哈启程
'yi'duan'wang'shi 一段往事
'zhan'zheng'de'chuan'qi 战争的传奇
'mo'fa'de'chuan'qi 魔法的传奇
'qiao'shou'de'chuan'qi 巧手的传奇
'da'di'de'chuan'qi 大地的传奇
'jing'dian'de'chuan'cheng 经典的传承
'la'nuo'xi'ya'de're'xin'chang 拉诺西亚的热心肠
'hei'yi'sen'lin'de're'xin'chang 黑衣森林的热心肠
'sa'na'lan'de're'xin'chang 萨纳兰的热心肠
'quan'xin'quan'yi'wei'ren'min'fu'wu 全心全意为人民服务
'xi'huan'li'fu'de'gu'yong'bing 喜欢理符的雇佣兵
'bai'zhan'li'lian'de'mao'xian'xing'jia 百战历练的冒险行家
'xi'huan'li'fu'de'qiao'shou'ren 喜欢理符的巧手人
'tian'yi'wu'feng'de'qiao'shou'jiang'ren 天衣无缝的巧手匠人
'zheng'yi'de'zhi'xing'zhe 正义的执行者
'yi'fen'tian'ying 义愤填膺
'te'wu'dui'yuan'de'zhi'ze 特务队员的职责
'te'zhong'lao'bing 特种老兵
'shen'jing'bai'zhan'de'yong'bing 身经百战的佣兵
'yong'bing'chuan'qi'hu'xu'yan'ying'di 佣兵传奇胡须岩营地
'yong'bing'chuan'qi'xue'song'yuan 佣兵传奇雪松原
'yong'bing'chuan'qi'ku'lou'gu'ying'di 佣兵传奇骷髅谷营地
'yong'bing'chuan'qi'bu'mao'qiu'ying'di 佣兵传奇不毛丘营地
'yong'bing'chuan'qi'xian'xue'bin'ying'di 佣兵传奇鲜血滨营地
'yong'bing'chuan'qi'xian'hou'yan'dong 佣兵传奇仙后岩洞
'yong'bing'chuan'qi'hei'jin'hu'ying'di 佣兵传奇黑金湖营地
'la'nuo'xi'ya'zhi'li'jian 拉诺西亚之利剑
'yong'bing'chuan'qi'wan'zhi'ying'di 佣兵传奇弯枝营地
'yong'bing'chuan'qi'yao'jing'huo'chuang 佣兵传奇妖精火床
'yong'bing'chuan'qi'jiu'teng'ying'di 佣兵传奇九藤营地
'yong'bing'chuan'qi'cui'yu'xian'ying'di 佣兵传奇翠玉藓营地
'yong'bing'chuan'qi'si'yu'ju'mu 佣兵传奇私语巨木
'yong'bing'chuan'qi'mu'en'tu'yi'niang'zao'ku 佣兵传奇姆恩图伊酿造库
'yong'bing'chuan'qi'tian'jing'lu'ying'di 佣兵传奇恬静路营地
'hei'yi'sen'lin'zhi'li'jian 黑衣森林之利剑
'yong'bing'chuan'qi'hei'chen'ying'di 佣兵传奇黑尘营地
'yong'bing'chuan'qi'na'na'wa'yin'shan 佣兵传奇纳纳瓦银山
'yong'bing'chuan'qi'ku'gu'ying'di 佣兵传奇枯骨营地
'yong'bing'chuan'qi'ri'ying'di 佣兵传奇日影地
'yong'bing'chuan'qi'di'ping'ying'di 佣兵传奇地平营地
'yong'bing'chuan'qi'feng'rao'shen'jing 佣兵传奇丰饶神井
'yong'bing'chuan'qi'hui'shui'ying'di 佣兵传奇秽水营地
'sa'na'lan'zhi'li'jian 萨纳兰之利剑
'cheng'bang'tong'meng'zhi'li'jian 城邦同盟之利剑
'shen'jing'bai'zhan'de'wei'shi 身经百战的卫士
'wei'shi'chuan'qi'hu'xu'yan'ying'di 卫士传奇胡须岩营地
'wei'shi'chuan'qi'xue'song'yuan 卫士传奇雪松原
'wei'shi'chuan'qi'ku'lou'gu'ying'di 卫士传奇骷髅谷营地
'wei'shi'chuan'qi'bu'mao'qiu'ying'di 卫士传奇不毛丘营地
'wei'shi'chuan'qi'xian'xue'bin'ying'di 卫士传奇鲜血滨营地
'wei'shi'chuan'qi'xian'hou'yan'dong 卫士传奇仙后岩洞
'wei'shi'chuan'qi'hei'jin'hu'ying'di 卫士传奇黑金湖营地
'la'nuo'xi'ya'zhi'jian'dun 拉诺西亚之坚盾
'wei'shi'chuan'qi'wan'zhi'ying'di 卫士传奇弯枝营地
'wei'shi'chuan'qi'yao'jing'huo'chuang 卫士传奇妖精火床
'wei'shi'chuan'qi'jiu'teng'ying'di 卫士传奇九藤营地
'wei'shi'chuan'qi'cui'yu'xian'ying'di 卫士传奇翠玉藓营地
'wei'shi'chuan'qi'si'yu'ju'mu 卫士传奇私语巨木
'wei'shi'chuan'qi'mu'en'tu'yi'niang'zao'ku 卫士传奇姆恩图伊酿造库
'wei'shi'chuan'qi'tian'jing'lu'ying'di 卫士传奇恬静路营地
'hei'yi'sen'lin'zhi'jian'dun 黑衣森林之坚盾
'wei'shi'chuan'qi'hei'chen'ying'di 卫士传奇黑尘营地
'wei'shi'chuan'qi'na'na'wa'yin'shan 卫士传奇纳纳瓦银山
'wei'shi'chuan'qi'ku'gu'ying'di 卫士传奇枯骨营地
'wei'shi'chuan'qi'ri'ying'di 卫士传奇日影地
'wei'shi'chuan'qi'di'ping'ying'di 卫士传奇地平营地
'wei'shi'chuan'qi'feng'rao'shen'jing 卫士传奇丰饶神井
'wei'shi'chuan'qi'hui'shui'ying'di 卫士传奇秽水营地
'sa'na'lan'zhi'jian'dun 萨纳兰之坚盾
'cheng'bang'tong'meng'zhi'jian'dun 城邦同盟之坚盾
'po'ren'zhi'jian'zhong'dui'xin'bing 破刃之剑中队新兵
'po'ren'zhi'jian'zhong'dui'lao'bing 破刃之剑中队老兵
'a'ze'ma'zhi'dun'zhong'dui'xin'bing 阿泽玛之盾中队新兵
'a'ze'ma'zhi'dun'zhong'dui'lao'bing 阿泽玛之盾中队老兵
'du'jiao'zhi'shou'xiao'dui'xin'bing 独角之手小队新兵
'du'jiao'zhi'shou'xiao'dui'lao'bing 独角之手小队老兵
'te'shu'bu'dui'zhi'xing 特殊部队之星
'bai'yin'zhi'qi'shi 白银之骑士
'lian'qi'zhi'wu'seng 练气之武僧
'yuan'chu'zhi'zhan'shi 原初之战士
'cang'tian'zhi'long'qi'shi 苍天之龙骑士
'gu'qu'zhi'yin'you'shi'ren 古曲之吟游诗人
'wu'xia'zhi'bai'mo'fa'shi 无瑕之白魔法师
'shen'yuan'zhi'hei'mo'fa'shi 深远之黑魔法师
'gu'dian'zhan'dou'zhu'yi'zhe 古典战斗主义者
'kang'zheng'ling'zai'zhi'ren 抗争灵灾之人
'wu'shen'lun'zhe 无神论者
'duan'jian'zhi'ren 断剑之人
'bu'sui'zhi'yan 不碎之岩
'xiao'mai'jiu'gang'chu'ji'wei'shi 小麦酒港初级卫士
'xiao'mai'jiu'gang'di'ji'wei'shi 小麦酒港低级卫士
'xiao'mai'jiu'gang'zhong'ji'wei'shi 小麦酒港中级卫士
'xiao'mai'jiu'gang'shang'ji'wei'shi 小麦酒港上级卫士
'xiao'mai'jiu'gang'wei'shi'zhang 小麦酒港卫士长
'lin'chang'shui'che'chu'ji'wei'shi 林场水车初级卫士
'lin'chang'shui'che'di'ji'wei'shi 林场水车低级卫士
'lin'chang'shui'che'zhong'ji'wei'shi 林场水车中级卫士
'lin'chang'shui'che'shang'ji'wei'shi 林场水车上级卫士
'lin'chang'shui'che'wei'shi'zhang 林场水车卫士长
'huang'jin'ji'shi'chu'ji'wei'shi 黄金集市初级卫士
'huang'jin'ji'shi'di'ji'wei'shi 黄金集市低级卫士
'huang'jin'ji'shi'zhong'ji'wei'shi 黄金集市中级卫士
'huang'jin'ji'shi'shang'ji'wei'shi 黄金集市上级卫士
'huang'jin'ji'shi'wei'shi'zhang 黄金集市卫士长
'bao'wei'fu'cheng'xiao'mai'jiu'gang 保卫辅城小麦酒港
'hu'wei'fu'cheng'xiao'mai'jiu'gang 护卫辅城小麦酒港
'jian'shou'fu'cheng'xiao'mai'jiu'gang 坚守辅城小麦酒港
'zhen'shou'fu'cheng'xiao'mai'jiu'gang 镇守辅城小麦酒港
'di'ling'ke'xing 地灵克星
'bao'wei'fu'cheng'lin'chang'shui'che 保卫辅城林场水车
'hu'wei'fu'cheng'lin'chang'shui'che 护卫辅城林场水车
'jian'shou'fu'cheng'lin'chang'shui'che 坚守辅城林场水车
'zhen'shou'fu'cheng'lin'chang'shui'che 镇守辅城林场水车
'niao'ren'ke'xing 鸟人克星
'bao'wei'fu'cheng'huang'jin'ji'shi 保卫辅城黄金集市
'hu'wei'fu'cheng'huang'jin'ji'shi 护卫辅城黄金集市
'jian'shou'fu'cheng'huang'jin'ji'shi 坚守辅城黄金集市
'zhen'shou'fu'cheng'huang'jin'ji'shi 镇守辅城黄金集市
'xi'yi'ren'ke'xing 蜥蜴人克星
'xiao'mai'jiu'gang'chu'ji'bu'ji'yuan 小麦酒港初级补给员
'xiao'mai'jiu'gang'di'ji'bu'ji'yuan 小麦酒港低级补给员
'xiao'mai'jiu'gang'zhong'ji'bu'ji'yuan 小麦酒港中级补给员
'xiao'mai'jiu'gang'shang'ji'bu'ji'yuan 小麦酒港上级补给员
'xiao'mai'jiu'gang'bu'ji'yao'yuan 小麦酒港补给要员
'lin'chang'shui'che'chu'ji'bu'ji'yuan 林场水车初级补给员
'lin'chang'shui'che'di'ji'bu'ji'yuan 林场水车低级补给员
'lin'chang'shui'che'zhong'ji'bu'ji'yuan 林场水车中级补给员
'lin'chang'shui'che'shang'ji'bu'ji'yuan 林场水车上级补给员
'lin'chang'shui'che'bu'ji'yao'yuan 林场水车补给要员
'huang'jin'ji'shi'chu'ji'bu'ji'yuan 黄金集市初级补给员
'huang'jin'ji'shi'di'ji'bu'ji'yuan 黄金集市低级补给员
'huang'jin'ji'shi'zhong'ji'bu'ji'yuan 黄金集市中级补给员
'huang'jin'ji'shi'shang'ji'bu'ji'yuan 黄金集市上级补给员
'huang'jin'ji'shi'bu'ji'yao'yuan 黄金集市补给要员
'xiao'mai'jiu'gang'chu'ji'jun'gong'jiang 小麦酒港初级军工匠
'xiao'mai'jiu'gang'di'ji'jun'gong'jiang 小麦酒港低级军工匠
'xiao'mai'jiu'gang'zhong'ji'jun'gong'jiang 小麦酒港中级军工匠
'xiao'mai'jiu'gang'shang'ji'jun'gong'jiang 小麦酒港上级军工匠
'xiao'mai'jiu'gang'yu'yong'gong'jiang 小麦酒港御用工匠
'lin'chang'shui'che'chu'ji'jun'gong'jiang 林场水车初级军工匠
'lin'chang'shui'che'di'ji'jun'gong'jiang 林场水车低级军工匠
'lin'chang'shui'che'zhong'ji'jun'gong'jiang 林场水车中级军工匠
'lin'chang'shui'che'shang'ji'jun'gong'jiang 林场水车上级军工匠
'lin'chang'shui'che'yu'yong'gong'jiang 林场水车御用工匠
'huang'jin'ji'shi'chu'ji'jun'gong'jiang 黄金集市初级军工匠
'huang'jin'ji'shi'di'ji'jun'gong'jiang 黄金集市低级军工匠
'huang'jin'ji'shi'zhong'ji'jun'gong'jiang 黄金集市中级军工匠
'huang'jin'ji'shi'shang'ji'jun'gong'jiang 黄金集市上级军工匠
'huang'jin'ji'shi'yu'yong'gong'jiang 黄金集市御用工匠
'quan'li'ying'zhan'xiao'mai'jiu'gang 全力应战小麦酒港
'quan'li'ying'zhan'lin'chang'shui'che 全力应战林场水车
'quan'li'ying'zhan'huang'jin'ji'shi 全力应战黄金集市
'quan'li'hou'qin'xiao'mai'jiu'gang 全力后勤小麦酒港
'quan'li'hou'qin'lin'chang'shui'che 全力后勤林场水车
'quan'li'hou'qin'huang'jin'ji'shi 全力后勤黄金集市
'fu'cheng'bao'wei'zhe 辅城保卫者
'hei'tu'yin'de'xun'lu'xian'sheng 黑兔印的驯鹿先生
'dong'fang'zhi'long 东方之龙
'dong'fang'zhi'hong'long 东方之红龙
'dong'fang'zhi'jin'long 东方之金龙
'dong'fang'zhi'hei'long 东方之黑龙
'long'shen'chuan'shuo 龙神传说
'chun'qing'zhi'zheng 纯情之证
'you'qing'zhi'zheng 友情之证
'yong'lian'de'zhu'fu 永恋的祝福
'san'bo'ai'xin'zhi'ren 散播爱心之人
'ye'jian'gong'zhu 谒见公主
'zhi'po'lie'dan'ren 质朴猎蛋人
'mi'cai'lie'dan'ren 迷彩猎蛋人
'san'se'lie'dan'ren 三色猎蛋人
'an'hei'lie'dan'ren 暗黑猎蛋人
'mi'mi'de'zhi'huan 秘密的指环
'zhi'ming'lie'dan'ren 知名猎蛋人
'fang'bao'zu'gan'si'dui'yuan 防爆组敢死队员
'shi'mao'de'fang'bao'zu'dui'yuan 时髦的防爆组队员
'xiao'sa'de'fang'bao'zu'dui'yuan 潇洒的防爆组队员
'piao'liang'de'fang'bao'zu'dui'yuan 漂亮的防爆组队员
'you'ya'de'fang'bao'zu'dui'yuan 优雅的防爆组队员
'jiao'xia'qing'liang 脚下清凉
'fang'bao'zu'zhong'shen'ming'yu'dui'yuan 防爆组终身名誉队员
'yu'shi'zai'bian'de'shui'jing 预示灾变的水晶
'qian'yu'de'xin'huo 千狱的心火
'qian'yu'de'ming'wei 千狱的明尾
'qian'yu'de'ao'ci 千狱的螯刺
'di'yu'de'ba'te'la'er 地狱的巴特拉尔
'huang'jin'de'shou'cai'nu 黄金的守财奴
'huang'jin'gu'cai'bao'lie'ren 黄金谷财宝猎人
'ren'wei'cai'sheng 人为财生
'bei'ming'de'qi'mei'la 悲鸣的奇美拉
'qiao'ming'dong'cai'bao'lie'ren 樵鸣洞财宝猎人
'tuan'jie'bu'po 团结不破
'la'nuo'xi'ya'de'lv'ren 拉诺西亚的旅人
'hei'yi'sen'lin'de'lv'ren 黑衣森林的旅人
'sa'na'lan'de'lv'ren 萨纳兰的旅人
'ku'er'zha'si'de'lv'ren 库尔札斯的旅人
'mo'du'na'de'lv'ren 摩杜纳的旅人
'fang'lang'zhi'shen'de'chui'qing 放浪之神的垂青
'hai'shang'de'hei'wo'yong'shi 海上的黑涡勇士
'lin'zhong'de'shuang'she'yong'shi 林中的双蛇勇士
'sha'mo'de'heng'hui'yong'shi 沙漠的恒辉勇士
'chu'ji'jun'piao'xuan'wo 初级军票漩涡
'zhong'ji'jun'piao'xuan'wo 中级军票漩涡
'gao'ji'jun'piao'xuan'wo 高级军票漩涡
'hong'mao'xun'zhang 红锚勋章
'chu'ji'jun'piao'ya'she 初级军票牙蛇
'zhong'ji'jun'piao'ya'she 中级军票牙蛇
'gao'ji'jun'piao'ya'she 高级军票牙蛇
'hong'mu'ye'xun'zhang 红木叶勋章
'chu'ji'jun'piao'yao'hui 初级军票耀辉
'zhong'ji'jun'piao'yao'hui 中级军票耀辉
'gao'ji'jun'piao'yao'hui 高级军票耀辉
'mi'yin'tian'ping'zhang 秘银天平章
'chu'ji'zhan'li'xuan'wo 初级战历漩涡
'zhong'ji'zhan'li'xuan'wo 中级战历漩涡
'gao'ji'zhan'li'xuan'wo 高级战历漩涡
'cang'pao'xun'zhang 苍炮勋章
'chu'ji'zhan'li'ya'she 初级战历牙蛇
'zhong'ji'zhan'li'ya'she 中级战历牙蛇
'gao'ji'zhan'li'ya'she 高级战历牙蛇
'tie'mu'ye'xun'zhang 铁木叶勋章
'chu'ji'zhan'li'yao'hui 初级战历耀辉
'zhong'ji'zhan'li'yao'hui 中级战历耀辉
'gao'ji'zhan'li'yao'hui 高级战历耀辉
'bai'yin'tian'ping'zhang 白银天平章
'chu'ji'zi'zhong'xuan'wo 初级辎重漩涡
'zhong'ji'zi'zhong'xuan'wo 中级辎重漩涡
'gao'ji'zi'zhong'xuan'wo 高级辎重漩涡
'hei'jiang'xun'zhang 黑桨勋章
'chu'ji'zi'zhong'ya'she 初级辎重牙蛇
'zhong'ji'zi'zhong'ya'she 中级辎重牙蛇
'gao'ji'zi'zhong'ya'she 高级辎重牙蛇
'feng'mu'ye'xun'zhang 枫木叶勋章
'chu'ji'zi'zhong'yao'hui 初级辎重耀辉
'zhong'ji'zi'zhong'yao'hui 中级辎重耀辉
'gao'ji'zi'zhong'yao'hui 高级辎重耀辉
'huang'tong'tian'ping'zhang 黄铜天平章
'chu'ji'bu'ji'xuan'wo 初级补给漩涡
'zhong'ji'bu'ji'xuan'wo 中级补给漩涡
'gao'ji'bu'ji'xuan'wo 高级补给漩涡
'cui'wei'xun'zhang 翠桅勋章
'chu'ji'bu'ji'ya'she 初级补给牙蛇
'zhong'ji'bu'ji'ya'she 中级补给牙蛇
'gao'ji'bu'ji'ya'she 高级补给牙蛇
'liu'mu'ye'xun'zhang 柳木叶勋章
'chu'ji'bu'ji'yao'hui 初级补给耀辉
'zhong'ji'bu'ji'yao'hui 中级补给耀辉
'gao'ji'bu'ji'yao'hui 高级补给耀辉
'qing'tong'tian'ping'zhang 青铜天平章
'jian'ru'pan'shi'de'xia'ji'hu'wei'dui 坚如磐石的下级护卫队
'xing'ru'ji'feng'de'xia'ji'hu'wei'dui 行如疾风的下级护卫队
'xun'ru'shan'dian'de'xia'ji'hu'wei'dui 迅如闪电的下级护卫队
'jian'ru'pan'shi'de'shang'ji'hu'wei'dui 坚如磐石的上级护卫队
'xing'ru'ji'feng'de'shang'ji'hu'wei'dui 行如疾风的上级护卫队
'xun'ru'shan'dian'de'shang'ji'hu'wei'dui 迅如闪电的上级护卫队
'chu'ji'yun'shu'yuan 初级运输员
'di'ji'yun'shu'yuan 低级运输员
'zhong'ji'yun'shu'yuan 中级运输员
'shang'ji'yun'shu'yuan 上级运输员
'wu'liu'de'da'dong'mai 物流的大动脉
'zheng'jin'wei'zhan 正襟危站
'wo'ke'ai'de'lu'xing'niao 我可爱的陆行鸟
'wo'piao'liang'de'lu'xing'niao 我漂亮的陆行鸟
'mi'shu'zhong'de'ling'wu 秘术中的领悟
'lv'tong'zhi'zhao'huan'shi 绿瞳之召唤师
'wan'ci'zhi'xue'zhe 万辞之学者
'zheng'dao'zhi'zhao'huan'shi 正道之召唤师
'zhong'sheng'zhi'xue'zhe 重生之学者
'xi'huan'li'fu'de'shou'huo'zhe 喜欢理符的收获者
'cai'hua'heng'yi'de'da'di'shi'zhe 才华横溢的大地使者
'yong'bing'chuan'qi 佣兵传奇
'mu'jiang'chuan'qi 木匠传奇
'tie'jiang'chuan'qi 铁匠传奇
'jia'jiang'chuan'qi 甲匠传奇
'jin'jiang'chuan'qi 金匠传奇
'ge'jiang'chuan'qi 革匠传奇
'yi'jiang'chuan'qi 衣匠传奇
'lian'jin'chuan'qi 炼金传奇
'chu'shi'chuan'qi 厨师传奇
'kuang'shi'chuan'qi 矿石传奇
'cao'mu'chuan'qi 草木传奇
'yu'min'chuan'qi 渔民传奇
'xing'hui'te'ling 行会特令
'ta'ru'zhong'la'nuo'xi'ya 踏入中拉诺西亚
'ta'ru'la'nuo'xi'ya'di'di 踏入拉诺西亚低地
'ta'ru'dong'la'nuo'xi'ya 踏入东拉诺西亚
'ta'ru'xi'la'nuo'xi'ya 踏入西拉诺西亚
'ta'ru'la'nuo'xi'ya'gao'di 踏入拉诺西亚高地
'ta'ru'xi'sa'na'lan 踏入西萨纳兰
'ta'ru'zhong'sa'na'lan 踏入中萨纳兰
'ta'ru'dong'sa'na'lan 踏入东萨纳兰
'ta'ru'nan'sa'na'lan 踏入南萨纳兰
'ta'ru'bei'sa'na'lan 踏入北萨纳兰
'ta'ru'hei'yi'sen'lin'zhong'yang'lin'qu 踏入黑衣森林中央林区
'ta'ru'hei'yi'sen'lin'dong'bu'lin'qu 踏入黑衣森林东部林区
'ta'ru'hei'yi'sen'lin'nan'bu'lin'qu 踏入黑衣森林南部林区
